tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
6.43885E+17,6.43885E+17,1536791610,2015-09-15 20:33:37 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When I took office, the budget deficit had reached 9.2% of our GDP. We've cut that down to 2.8%. http://t.co/3viaw4b0bB",,,,https://twitter.com/POTUS/status/643885400847593472/photo/1
6.43885E+17,6.43884E+17,1536791610,2015-09-15 20:30:45 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When I took office, 15.4% of our population was uninsured. Today, we’ve cut that by more than a third. http://t.co/3OOqcz8Oxp",,,,https://twitter.com/POTUS/status/643884680253599744/photo/1
6.43884E+17,6.43883E+17,1536791610,2015-09-15 20:27:51 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In 2009, our auto industry was flatlining. Now our workers are on pace to sell more American cars and trucks than any year since 2001.",,,,
6.43883E+17,6.43882E+17,1536791610,2015-09-15 20:24:27 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",We've cut the unemployment rate in half – from a high of 10% down to 5.1%. And we're not done. http://t.co/uRfaSoiGuA,,,,http://twitter.com/POTUS/status/643883096689913856/photo/1
6.43882E+17,6.43882E+17,1536791610,2015-09-15 20:21:43 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When I took office, 800,000 Americans lost their jobs each month. Our businesses have now added 13.1 million jobs over 66 straight months.",,,,
6.43882E+17,,,2015-09-15 20:20:41 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","7 years ago today, Lehman Brothers filed for bankruptcy, setting off the worst financial crisis in decades. Here's how far we've come:",,,,
6.43441E+17,,,2015-09-14 15:06:10 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""@FAFSA"" might be hard to say, but filling it out can help you pay for college. FLOTUS, you're up! #5TimesFAFSA http://t.co/y1Jv8aeGUH",,,,http://snpy.tv/1LtQ6v3
6.42328E+17,,,2015-09-11 13:24:05 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","14 years after the terrorist attacks of 9/11, we honor those we lost. We salute all who serve to keep us safe. We stand as strong as ever.",,,,
6.42084E+17,,,2015-09-10 21:15:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Today's Senate vote on the Iran deal is a historic step toward preventing Iran from obtaining a nuclear weapon. The world is safer for it.,,,,
6.40567E+17,,,2015-09-06 16:45:57 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you, Colin, for putting your experience and expertise behind this important initiative for our country. https://t.co/bSnaLMs8CU",,,,https://twitter.com/meetthepress/status/640515936647258112
6.39509E+17,,,2015-09-03 18:42:44 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I loved Alaska and met so many inspiring people. Have to keep up the fight on climate change for their sake—and ours. http://t.co/HzWW0S6iQc,,,,http://snpy.tv/1JQQYbZ
6.38404E+17,,,2015-08-31 17:31:01 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today we’re returning Mount McKinley to its native name - Denali, a step to reflect the heritage of Alaska Natives. http://t.co/WyzQImKymX",,,,https://twitter.com/POTUS/status/638403631306248192/photo/1
6.37734E+17,,,2015-08-29 21:09:18 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","In Treme, I was inspired by the progress &amp; people 10 years after Katrina. It gives us hope, but our work isn't done. http://t.co/LDqsARhnZt",,,,http://twitter.com/POTUS/status/637733790090199040/photo/1
6.36923E+17,,,2015-08-27 15:27:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Amidst global volatility, Congress should protect the momentum of our growing economy (not kill it). We must avoid shutdown / austerity.",,,,
6.36236E+17,,,2015-08-25 17:55:38 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The National Park Service: 99 years and 84 million acres strong. Congrats to all who work to protect these treasures. http://t.co/R8RyB9vkVW,,,,https://twitter.com/POTUS/status/636235501658222592/photo/1
6.34413E+17,,,2015-08-20 17:14:53 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","President Carter is as good a man as they come. Michelle and I are praying for him and Rosalynn. We're all pulling for you, Jimmy.",,,,
6.32213E+17,,,2015-08-14 15:30:35 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Due to popular request, here are my vacation playlists: http://t.co/uer5sIl4Vk http://t.co/zHEekHvQBr What's your favorite summer song?",,,,"http://spoti.fi/potusplaylist1,http://spoti.fi/potusplaylist2"
6.3221E+17,,,2015-08-14 15:18:58 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JohnKerry: Pleased to be in #Havana for historic day @USEmbCuba. Incredible: last time #SecState visited #Cuba, FDR was @POTUS. http://…",6.32205E+17,15007149,2015-08-14 15:00:00 +0000,https://twitter.com/JohnKerry/status/632205031740153856/photo/1
6.29344E+17,,,2015-08-06 17:30:29 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thank you for all you've done to protect our sacred right to vote. It's as important today as it's ever been. https://t.co/ge74wu5nc1,,,,https://twitter.com/repjohnlewis/status/629343428925636609
6.29343E+17,6.29342E+17,1536791610,2015-08-06 17:26:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Heroes like @RepJohnLewis, Dr. King, and countless others sacrificed so that all of our voices could be heard. http://t.co/L7kxtWQlYW",,,,https://twitter.com/POTUS/status/629342681962049538/photo/1
6.29342E+17,6.29342E+17,1536791610,2015-08-06 17:23:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Before 1965, African Americans faced poll taxes, literacy tests, or having to count jellybeans in a jar when they tried to register to vote.",,,,
6.29342E+17,,,2015-08-06 17:21:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","50 years ago today, President Johnson signed the Voting Rights Act into law, securing the right to vote for millions of African Americans.",,,,
6.29065E+17,,,2015-08-05 23:01:41 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pretty incredible time lapse of the dark side of the moon passing Earth from @NASA. American ingenuity at work! http://t.co/JKep9bcxGQ,,,,https://twitter.com/POTUS/status/629064761188184064/video/1
6.29031E+17,,,2015-08-05 20:46:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Important detail – there are no secret deals. My staff can brief you on any question about any part of the deal. https://t.co/UO0B5xCOPh,,,,https://twitter.com/stevescalise/status/628971521663475712
6.2903E+17,,,2015-08-05 20:45:23 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The choice is ultimately between diplomacy and war. Iran's nuclear program accelerates if Congress kills this deal. https://t.co/nvBeO1Omko,,,,https://twitter.com/senatemajldr/status/628946892236451840
6.29028E+17,,,2015-08-05 20:36:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It's the strongest nuclear deal ever negotiated. There's no such thing as a ""better deal."" Walking away risks war. https://t.co/la7GhQXfzl",,,,https://twitter.com/angelakkmiller/status/628944989406556160
6.28286E+17,6.28285E+17,1536791610,2015-08-03 19:29:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I refuse to condemn our kids to a planet that's beyond fixing. Let's meet this challenge and #ActOnClimate together.,,,,
6.28285E+17,6.28284E+17,1536791610,2015-08-03 19:23:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Despite what the critics will tell you, this plan will ultimately save the average American family nearly $85 a year on their energy bills.",,,,
6.28284E+17,6.28283E+17,1536791610,2015-08-03 19:18:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thanks to this plan, there will be 90,000 fewer asthma attacks among our kids and we'll avoid 3,600 premature deaths in 2030.",,,,
6.28283E+17,6.28282E+17,1536791610,2015-08-03 19:15:25 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It's time to change that. With the Clean Power Plan, by 2030, carbon pollution from power plants will be 32% lower than it was a decade ago.",,,,
6.28282E+17,6.28281E+17,1536791610,2015-08-03 19:11:58 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Right now, power plants account for about one-third of America’s carbon pollution. That’s more than our cars, airplanes, and homes combined.",,,,
6.28281E+17,6.28281E+17,1536791610,2015-08-03 19:06:54 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Levels of carbon dioxide in our atmosphere are higher than they’ve been in 800,000 years. 2014 was the planet’s warmest year on record.",,,,
6.28281E+17,,,2015-08-03 19:06:08 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Today, we're announcing America's Clean Power Plan—the most important step we've ever taken to combat climate change. Here are the facts:",,,,
6.27561E+17,,,2015-08-01 19:25:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hey @StationCDRKelly, loving the photos. Do you ever look out the window and just freak out?",,,,
6.27211E+17,,,2015-07-31 20:15:39 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Launching a pilot program to help students in prison pay for college, because everyone willing to work for it deserves a second chance.",,,,
6.26794E+17,,,2015-07-30 16:39:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Happy 50th birthday, Medicare and Medicaid! Two programs, one promise: that every American deserves a basic measure of dignity and security.",,,,
6.25412E+17,,,2015-07-26 21:05:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","25 years of the ADA and Americans with disabilities are breaking more barriers than ever, making all of us more free. Let's keep going.",,,,
6.24692E+17,,,2015-07-24 21:25:42 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Proud to be the first American President to visit Kenya. Happy to see family, and to talk with young Kenyans about the future.",,,,
6.23662E+17,,,2015-07-22 01:13:00 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","E.L. Doctorow was one of America's greatest novelists. His books taught me much, and he will be missed.",,,,
6.23503E+17,,,2015-07-21 14:40:25 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TheIranDeal: The historic #IranDeal succeeds in verifying that Iran cannot obtain a nuclear weapon. Follow to get the facts: http://t.c…,6.235E+17,3281853858,2015-07-21 14:30:13 +0000,http://go.wh.gov/IranDealFacts
6.23137E+17,,,2015-07-20 14:27:08 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Just got this new blue marble photo from @NASA. A beautiful reminder that we need to protect the only planet we have. http://t.co/JQ3174P0LF,,,,https://twitter.com/POTUS/status/623137065341952000/photo/1
6.22147E+17,,,2015-07-17 20:54:55 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Had a great visit today with Emma Didlake - our oldest living veteran at 110-years-young! She's a true American hero. http://t.co/EeeIC3AK4A,,,,https://twitter.com/POTUS/status/622147491862028289/photo/1
6.22091E+17,,,2015-07-17 17:10:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Congrats to Oregon on passing two years of free community college! Every hardworking student deserves access to higher education.,,,,
6.21134E+17,,,2015-07-15 01:46:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pluto just had its first visitor! Thanks @NASA - it's a great day for discovery and American leadership. http://t.co/FfztBSMbK0,,,,http://twitter.com/POTUS/status/621133763385425920/photo/1
6.21121E+17,,,2015-07-15 00:57:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good conversation with Tom Friedman on the deal we reached with Iran. It's a major step toward a safer world.  https://t.co/xwSrH9IoFG,,,,https://twitter.com/tomfriedman/status/621084602644471810
6.21089E+17,6.21087E+17,1536791610,2015-07-14 22:47:13 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mass incarceration doesn't work. Let's build communities that give kids a shot at success and prisons that prepare people for a 2nd chance.,,,,
6.21087E+17,6.21086E+17,1536791610,2015-07-14 22:42:16 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",We could eliminate tuition at every public college and university in America with the $80 billion we spend each year on incarcerations.,,,,
6.21086E+17,6.21085E+17,1536791610,2015-07-14 22:37:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The $80 billion we spend each year on incarcerations could double the salary of every high school teacher in America.,,,,
6.21085E+17,6.21084E+17,1536791610,2015-07-14 22:34:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The $80 billion we spend each year to keep people incarcerated could pay for universal pre-K for every 3-year-old and 4-year-old in America.,,,,
6.21084E+17,6.21083E+17,1536791610,2015-07-14 22:30:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","In 1980, there were 500,000 people in American jails. Today, there are 2.2 million. Many belong. But too many are nonviolent offenders.",,,,
6.21083E+17,6.21082E+17,1536791610,2015-07-14 22:26:15 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",America keeps more people behind bars than the top 35 European countries combined.,,,,
6.21082E+17,6.21082E+17,1536791610,2015-07-14 22:20:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","America is home to 5% of the world's population, but 25% of the world's prisoners.",,,,
6.21082E+17,,,2015-07-14 22:19:14 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just spoke to the NAACP about criminal justice reform, something many broadly agree on. Some stats:",,,,
6.1951E+17,,,2015-07-10 14:12:50 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","South Carolina taking down the confederate flag - a signal of good will and healing, and a meaningful step towards a better future.",,,,
6.17861E+17,,,2015-07-06 01:01:08 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",What a win for Team USA! Great game @CarliLloyd! Your country is so proud of all of you. Come visit the White House with the World Cup soon.,,,,
6.17543E+17,6.1743E+17,1536791610,2015-07-05 03:57:06 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://t.co/Ft3DwYWRJv,,,,https://twitter.com/POTUS/status/617542692952764417/photo/1
6.1743E+17,,,2015-07-04 20:29:21 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It doesn't get much better than celebrating America with the people you love. Happy Fourth of July, everyone!",,,,
6.16442E+17,,,2015-07-02 03:02:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It's not mine; just a loaner. Maybe you can come play at the White House sometime instead?  https://t.co/srZKB6plzz,,,,https://twitter.com/theblackkeys/status/616364682895564800
6.16418E+17,,,2015-07-02 01:28:15 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @hotelkeys: @POTUS 
23yrold recent grad has full-time job but no insurance. Peace of mind that she can be on our plan. #ACAWorks",6.16342E+17,100005598,2015-07-01 20:24:28 +0000,
6.16417E+17,,,2015-07-02 01:25:45 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @crazywritinfool: @POTUS #ACAWorks because I could switch insurance providers to get a lower rate. Couldn't before due to ""preexisting c…",6.16376E+17,7713582,2015-07-01 22:42:12 +0000,
6.16417E+17,,,2015-07-02 01:23:19 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @RandynAverysMom: #AskPOTUS my dad is a small biz owner and never had insurance. #ACA allowed him access to life saving cancer screening…,6.16316E+17,17515958,2015-07-01 18:42:16 +0000,
6.16416E+17,,,2015-07-02 01:21:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NotoriousLLT: Sister is legally blind &amp; on disability b/c of glaucoma. She needs care to keep sight she has left. With #ACA she can aff…,6.16344E+17,1016746238,2015-07-01 20:33:01 +0000,
6.16341E+17,,,2015-07-01 20:21:36 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gotta go, but this was fun. Let's keep the health care conversation going - share how the #ACAWorks for you or your family.",,,,
6.1634E+17,,,2015-07-01 20:17:54 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",butler's a great player on o and d; let's sign him up long term. go bulls! https://t.co/IqbyUmcbmJ,,,,https://twitter.com/Matt_Rodewald/status/616313502932844544
6.1634E+17,,,2015-07-01 20:16:58 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","people lack info/turned off by political noise. w court case done, let's focus on getting people signed up. https://t.co/vFCDgMXSE9",,,,https://twitter.com/jayrocky_vs/status/616312088282140673
